ID,Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50
69,CHEMBL3113570,380.36,Cc1cccc2c(O)nc3cc(C(F)(F)F)c(NC(=O)CCl)cc3c12,IC50,=',1.1,nM,"9,958,607,315"
70,CHEMBL202313,280.33,Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cc1,IC50,=',1.1,nM,"9,958,607,315"
71,CHEMBL4861133,434.47,CC1(C(=O)N2CC3=NNC(=O)c4cc(F)cc5[nH]c(c3c45)C2)CC1,IC50,=',1.1,nM,"9,958,607,315"
72,CHEMBL4847485,244.3,O=c1[nH]nc2c3c(cccc13)N=C(CN1CCN(c3ccncc3)CC1)N2,IC50,=',1.1,nM,"9,958,607,315"
73,CHEMBL497775,397.48,O=C(CCc1ccc(Cl)cc1Cl)Nc1nnc2n1CCS2,IC50,=',1.1,nM,"9,958,607,315"
74,CHEMBL596143,380.36,NC(=O)c1cccc2cn(-c3ccc(C(=O)N4CCCNCC4)cc3)nc12,IC50,=',"1,122",nM,"9,950,007,143"
75,CHEMBL498585,690.66,O=c1[nH]c(N2CCC3(CC2)NCc2ccccc23)nc2c1CCCC2,IC50,=',"1,122",nM,"9,950,007,143"
76,CHEMBL126167,434.47,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,IC50,=',"1,175",nM,"9,929,962,133"
77,CHEMBL2419892,621.68,O=c1[nH]c(N2CCC3(CC2)CN(CCO)c2cc(F)cc(F)c23)nc2c1CCCC2,IC50,=',"1,175",nM,"9,929,962,133"
78,CHEMBL594141,434.47,NC(=O)c1cccc2cn(-c3ccc(C(=O)NCCN4CCOCC4)cc3)nc12,IC50,=',1.2,nM,"9,920,818,754"
79,CHEMBL1092143,434.47,CC(C)CCN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)CC1,IC50,=',1.26,nM,"9,899,629,455"
80,CHEMBL3649715,568.72,O=c1[nH]c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc12,IC50,=',1.29,nM,"988,941,029"
